Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,11,Fundulus heteroclitus,"Bass, CS; Bhan, S; Smith, GM; Weis, JS",Some factors affecting size distribution and density of grass shrimp (Palaemonetes pugio) populations in two New Jersey estuaries,HYDROBIOLOGIA,,,450,1/3/14,,,231,241,,10.1023/A:1017505229481,,,5/1/14,2001,,,,,,,,,9,1,9,0,11,0018-8158,,WOS:000170963600020,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,12,Fundulus heteroclitus,"Warren, RS; Fell, PE; Grimsby, JL; Buck, EL; Rilling, GC; Fertik, RA","Rates, patterns, and impacts of Phragmites australis expansion and effects of experimental Phragmites control on vegetation, macroinvertebrates, and fish within tidelands of the lower Connecticut River",ESTUARIES,,,24,1,,,90,107,,10.2307/1352816,,,2/1/14,2001,,,,,,,,,78,0,61,0,79,0160-8347,,WOS:000168130900009,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,13,Fundulus heteroclitus,"Tupper, M; Able, KW",Movements and food habits of striped bass (Morone saxatilis) in Delaware Bay (USA) salt marshes: comparison of a restored and a reference marsh,MARINE BIOLOGY,,,137,5/6/14,,,1049,1058,,10.1007/s002270000421,,,Dec-00,2000,,,,,,,,,55,1,45,0,58,0025-3162,,WOS:000166005800032,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"West, JM; Zedler, JB",Marsh-creek connectivity: Fish use of a tidal salt marsh in southern California,ESTUARIES,,,23,5,,,699,710,,10.2307/1352896,,,Oct-00,2000,,,,,,,,,31,0,30,0,32,0160-8347,,WOS:000165893500010,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Halpin, PM",Habitat use by an intertidal salt-marsh fish: trade-offs between predation and growth,MARINE ECOLOGY PROGRESS SERIES,,,198,,,,203,214,,10.3354/meps198203,,,2000,2000,,,,,,,,,57,0,54,0,57,0171-8630; 1616-1599,,WOS:000088100100019,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Weinstein, MP; Balletto, JH","Does the common reed, Phragmites australis, affect essential fish habitat?",ESTUARIES,,,22,3B,,,793,802,,10.2307/1353112,,,Sep-99,1999,,,,,3rd Annual Marine and Estuarine Shallow Water Science and Management Conference,"DEC 01-05, 1996",,"ATLANTIC CITY, NJ",60,0,49,0,62,0160-8347,,WOS:000083142600008,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Gutjahr-Gobell, RE; Black, DE; Mills, LJ; Pruell, RJ; Taplin, BK; Jayaraman, S",Feeding the mummichog (Fundulus heteroclitus) a diet spiked with non-ortho- and mono-ortho-substituted polychlorinated biphenyls: Accumulation and effects,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,,18,4,,,699,707,,,,,Apr-99,1999,,,,,,,,,8,0,7,0,8,0730-7268,,WOS:000079222000016,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,16,Fundulus heteroclitus,"Sarda, R; Foreman, K; Werme, CE; Valiela, I",The impact of epifaunal predation on the structure of macroinfaunal invertebrate communities of tidal saltmarsh creeks,ESTUARINE COASTAL AND SHELF SCIENCE,,,46,5,,,657,669,,10.1006/ecss.1997.0322,,,May-98,1998,,,,,,,,,40,1,32,1,42,0272-7714,,WOS:000073906200005,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,17,Fundulus heteroclitus,"Fell, PE; Weissbach, SP; Jones, DA; Fallon, MA; Zeppieri, JA; Faison, EK; Lennon, KA; Newberry, KJ; Reddington, LK","Does invasion of oligohaline tidal marshes by reed grass, Phragmites australis (Cav) Trin ex Steud, affect the availability of prey resources for the mummichog, Fundulus heteroclitus L?",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,222,1/2/14,,,59,77,,10.1016/S0022-0981(97)00138-X,,,4/1/98,1998,,,,,,,,,72,0,56,0,73,0022-0981,,WOS:000072618500005,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Halpin, PM","Habitat use patterns of the Mummichog, Fundulus heteroclitus, in New England .1. Intramarsh variation",ESTUARIES,,,20,3,,,618,625,,10.2307/1352619,,,Sep-97,1997,,,,,,,,,31,0,23,0,32,0160-8347,,WOS:A1997XT91000013,,,,,,,,,,,,,,,,,,,,,,,,,,
